sep=,
instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,32768,11526,9776,5015,3224,3227,413,9363,186,4829,138,3086,10867,28,0.020076111
1,RedBlackBST,32768,11526,9776,5015,3224,3227,413,9363,186,4829,138,3086,10867,17,0.024028159
2,BST,32768,11377,9831,4871,3339,3350,434,9397,190,4681,151,3188,10780,30,0.021946854
2,RedBlackBST,32768,11377,9831,4871,3339,3350,434,9397,190,4681,151,3188,10780,17,0.016053918
3,BST,32768,11470,9824,4880,3289,3305,412,9412,163,4717,156,3133,10841,28,0.010524221
3,RedBlackBST,32768,11470,9824,4880,3289,3305,412,9412,163,4717,156,3133,10841,18,0.015780835
4,BST,32768,11370,9855,4931,3308,3304,430,9425,206,4725,124,3184,10742,29,0.015406929
4,RedBlackBST,32768,11370,9855,4931,3308,3304,430,9425,206,4725,124,3184,10742,18,0.017581197
5,BST,32768,11247,10111,4797,3296,3317,443,9668,176,4621,149,3147,10650,33,0.017161752
5,RedBlackBST,32768,11247,10111,4797,3296,3317,443,9668,176,4621,149,3147,10650,18,0.016392495
6,BST,32768,11475,9810,4968,3268,3247,436,9374,187,4781,144,3124,10816,29,0.009770645
6,RedBlackBST,32768,11475,9810,4968,3268,3247,436,9374,187,4781,144,3124,10816,18,0.008403375
7,BST,32768,11504,9903,4846,3179,3336,432,9471,193,4653,131,3048,10847,28,0.017684971
7,RedBlackBST,32768,11504,9903,4846,3179,3336,432,9471,193,4653,131,3048,10847,17,0.022738053
8,BST,32768,11375,9719,4974,3326,3374,407,9312,178,4796,149,3177,10732,31,0.022144667
8,RedBlackBST,32768,11375,9719,4974,3326,3374,407,9312,178,4796,149,3177,10732,18,0.008770553
9,BST,32768,11505,9784,4879,3318,3282,417,9367,175,4704,144,3174,10881,33,0.01008388
9,RedBlackBST,32768,11505,9784,4879,3318,3282,417,9367,175,4704,144,3174,10881,18,0.012683855
10,BST,32768,11553,9791,4926,3281,3217,380,9411,172,4754,153,3128,10927,29,0.012769772
10,RedBlackBST,32768,11553,9791,4926,3281,3217,380,9411,172,4754,153,3128,10927,18,0.023894
11,BST,32768,11366,9870,4847,3321,3364,439,9431,170,4677,118,3203,10714,30,0.024423756
11,RedBlackBST,32768,11366,9870,4847,3321,3364,439,9431,170,4677,118,3203,10714,19,0.009217456
12,BST,32768,11419,9781,4947,3360,3261,397,9384,201,4746,140,3220,10820,33,0.008215682
12,RedBlackBST,32768,11419,9781,4947,3360,3261,397,9384,201,4746,140,3220,10820,19,0.008812337
13,BST,32768,11458,9943,4845,3252,3270,457,9486,167,4678,148,3104,10862,29,0.016716079
13,RedBlackBST,32768,11458,9943,4845,3252,3270,457,9486,167,4678,148,3104,10862,18,0.017903644
14,BST,32768,11595,9913,4820,3283,3157,433,9480,194,4626,134,3149,10988,29,0.01984276
14,RedBlackBST,32768,11595,9913,4820,3283,3157,433,9480,194,4626,134,3149,10988,18,0.010284161
15,BST,32768,11543,9847,4861,3256,3261,413,9434,179,4682,138,3118,10946,34,0.008413678
15,RedBlackBST,32768,11543,9847,4861,3256,3261,413,9434,179,4682,138,3118,10946,17,0.008520891
16,BST,32768,11484,9800,4861,3322,3301,399,9401,187,4674,144,3178,10869,30,0.009677113
16,RedBlackBST,32768,11484,9800,4861,3322,3301,399,9401,187,4674,144,3178,10869,18,0.012295277
17,BST,32768,11366,9907,4926,3296,3273,388,9519,175,4751,141,3155,10763,31,0.018772625
17,RedBlackBST,32768,11366,9907,4926,3296,3273,388,9519,175,4751,141,3155,10763,18,0.018646436
18,BST,32768,11513,9813,4854,3304,3284,393,9420,181,4673,164,3140,10915,31,0.023948932
18,RedBlackBST,32768,11513,9813,4854,3304,3284,393,9420,181,4673,164,3140,10915,17,0.019998434
19,BST,32768,11473,9852,4891,3266,3286,416,9436,203,4688,132,3134,10895,34,0.021549535
19,RedBlackBST,32768,11473,9852,4891,3266,3286,416,9436,203,4688,132,3134,10895,17,0.014607812
20,BST,32768,11465,9812,4901,3300,3290,408,9404,186,4715,129,3171,10882,26,0.014610716
20,RedBlackBST,32768,11465,9812,4901,3300,3290,408,9404,186,4715,129,3171,10882,18,0.015867368
21,BST,32768,11473,9909,4883,3242,3261,387,9522,221,4662,135,3107,10880,31,0.014779288
21,RedBlackBST,32768,11473,9909,4883,3242,3261,387,9522,221,4662,135,3107,10880,17,0.014908537
22,BST,32768,11357,9899,4950,3161,3401,387,9512,197,4753,121,3040,10696,28,0.022147166
22,RedBlackBST,32768,11357,9899,4950,3161,3401,387,9512,197,4753,121,3040,10696,17,0.031914806
23,BST,32768,11580,9786,4902,3261,3239,423,9363,172,4730,144,3117,10947,31,0.022746439
23,RedBlackBST,32768,11580,9786,4902,3261,3239,423,9363,172,4730,144,3117,10947,18,0.02266298
24,BST,32768,11413,9878,4858,3275,3344,399,9479,191,4667,140,3135,10779,30,0.015790833
24,RedBlackBST,32768,11413,9878,4858,3275,3344,399,9479,191,4667,140,3135,10779,18,0.019336506
25,BST,32768,11330,9980,4926,3266,3266,438,9542,195,4731,128,3138,10724,31,0.019384335
25,RedBlackBST,32768,11330,9980,4926,3266,3266,438,9542,195,4731,128,3138,10724,17,0.012912569
26,BST,32768,11410,9843,4945,3301,3269,402,9441,204,4741,120,3181,10796,33,0.010927139
26,RedBlackBST,32768,11410,9843,4945,3301,3269,402,9441,204,4741,120,3181,10796,18,0.009420976
27,BST,32768,11422,10011,4765,3245,3325,401,9610,189,4576,133,3112,10760,31,0.008335002
27,RedBlackBST,32768,11422,10011,4765,3245,3325,401,9610,189,4576,133,3112,10760,18,0.009028035
28,BST,32768,11541,9709,4868,3308,3342,413,9296,190,4678,130,3178,10885,28,0.00832059
28,RedBlackBST,32768,11541,9709,4868,3308,3342,413,9296,190,4678,130,3178,10885,18,0.008620609
29,BST,32768,11476,9810,4965,3155,3362,432,9378,200,4765,128,3027,10853,33,0.008262575
29,RedBlackBST,32768,11476,9810,4965,3155,3362,432,9378,200,4765,128,3027,10853,18,0.009505207
