sep=,
instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,16384,5681,4950,2447,1640,1666,227,4723,81,2366,76,1564,5347,29,0.006762947
1,RedBlackBST,16384,5681,4950,2447,1640,1666,227,4723,81,2366,76,1564,5347,16,0.007649445
2,BST,16384,5763,4809,2533,1634,1645,220,4589,89,2444,74,1560,5459,28,0.008311949
2,RedBlackBST,16384,5763,4809,2533,1634,1645,220,4589,89,2444,74,1560,5459,17,0.00809859
3,BST,16384,5758,4871,2396,1696,1663,212,4659,89,2307,78,1618,5450,27,0.005362898
3,RedBlackBST,16384,5758,4871,2396,1696,1663,212,4659,89,2307,78,1618,5450,17,0.005223226
4,BST,16384,5720,4884,2461,1639,1680,198,4686,88,2373,63,1576,5405,28,0.007939214
4,RedBlackBST,16384,5720,4884,2461,1639,1680,198,4686,88,2373,63,1576,5405,16,0.007657603
5,BST,16384,5624,4957,2485,1650,1668,200,4757,89,2396,71,1579,5300,24,0.008534372
5,RedBlackBST,16384,5624,4957,2485,1650,1668,200,4757,89,2396,71,1579,5300,16,0.008558342
6,BST,16384,5702,4963,2439,1631,1649,200,4763,99,2340,70,1561,5392,29,0.009092628
6,RedBlackBST,16384,5702,4963,2439,1631,1649,200,4763,99,2340,70,1561,5392,16,0.008256612
7,BST,16384,5843,4796,2467,1609,1669,204,4592,87,2380,62,1547,5543,28,0.007778764
7,RedBlackBST,16384,5843,4796,2467,1609,1669,204,4592,87,2380,62,1547,5543,17,0.007488816
8,BST,16384,5789,4837,2439,1659,1660,217,4620,86,2353,73,1586,5443,28,0.014399942
8,RedBlackBST,16384,5789,4837,2439,1659,1660,217,4620,86,2353,73,1586,5443,18,0.004341333
9,BST,16384,5704,4896,2501,1679,1604,177,4719,84,2417,82,1597,5385,29,0.006715257
9,RedBlackBST,16384,5704,4896,2501,1679,1604,177,4719,84,2417,82,1597,5385,17,0.007339954
10,BST,16384,5764,4872,2509,1665,1574,197,4675,110,2399,72,1593,5430,28,0.0058045
10,RedBlackBST,16384,5764,4872,2509,1665,1574,197,4675,110,2399,72,1593,5430,17,0.006218775
11,BST,16384,5721,4988,2480,1599,1596,212,4776,107,2373,66,1533,5399,25,0.006063844
11,RedBlackBST,16384,5721,4988,2480,1599,1596,212,4776,107,2373,66,1533,5399,16,0.006077571
12,BST,16384,5688,4921,2474,1661,1640,247,4674,100,2374,68,1593,5373,28,0.006200528
12,RedBlackBST,16384,5688,4921,2474,1661,1640,247,4674,100,2374,68,1593,5373,15,0.01114115
13,BST,16384,5765,4909,2465,1601,1644,225,4684,91,2374,61,1540,5450,28,0.004005763
13,RedBlackBST,16384,5765,4909,2465,1601,1644,225,4684,91,2374,61,1540,5450,17,0.004146191
14,BST,16384,5769,4925,2380,1694,1616,219,4706,94,2286,55,1639,5447,33,0.003812058
14,RedBlackBST,16384,5769,4925,2380,1694,1616,219,4706,94,2286,55,1639,5447,16,0.003962509
15,BST,16384,5582,4977,2497,1658,1670,211,4766,92,2405,70,1588,5283,30,0.003847573
15,RedBlackBST,16384,5582,4977,2497,1658,1670,211,4766,92,2405,70,1588,5283,16,0.004186053
16,BST,16384,5829,4915,2402,1643,1595,228,4687,94,2308,54,1589,5491,27,0.004835631
16,RedBlackBST,16384,5829,4915,2402,1643,1595,228,4687,94,2308,54,1589,5491,16,0.00385777
17,BST,16384,5716,4959,2429,1623,1657,201,4758,108,2321,76,1547,5427,29,0.003722159
17,RedBlackBST,16384,5716,4959,2429,1623,1657,201,4758,108,2321,76,1547,5427,16,0.003826796
18,BST,16384,5770,5002,2480,1561,1571,215,4787,91,2389,53,1508,5473,26,0.007759102
18,RedBlackBST,16384,5770,5002,2480,1561,1571,215,4787,91,2389,53,1508,5473,17,0.008079636
19,BST,16384,5759,4815,2440,1677,1693,193,4622,86,2354,64,1613,5440,26,0.006353471
19,RedBlackBST,16384,5759,4815,2440,1677,1693,193,4622,86,2354,64,1613,5440,16,0.004962618
20,BST,16384,5664,4880,2490,1650,1700,205,4675,107,2383,79,1571,5359,25,0.003987548
20,RedBlackBST,16384,5664,4880,2490,1650,1700,205,4675,107,2383,79,1571,5359,17,0.003999072
21,BST,16384,5844,4861,2454,1600,1625,218,4643,89,2365,68,1532,5539,27,0.004134096
21,RedBlackBST,16384,5844,4861,2454,1600,1625,218,4643,89,2365,68,1532,5539,16,0.006478218
22,BST,16384,5738,4968,2455,1623,1600,214,4754,92,2363,61,1562,5439,27,0.006486317
22,RedBlackBST,16384,5738,4968,2455,1623,1600,214,4754,92,2363,61,1562,5439,17,0.004652711
23,BST,16384,5627,4954,2427,1741,1635,206,4748,95,2332,83,1658,5316,27,0.003972609
23,RedBlackBST,16384,5627,4954,2427,1741,1635,206,4748,95,2332,83,1658,5316,16,0.003671151
24,BST,16384,5617,5039,2498,1621,1609,217,4822,78,2420,69,1552,5320,28,0.005040824
24,RedBlackBST,16384,5617,5039,2498,1621,1609,217,4822,78,2420,69,1552,5320,17,0.003582157
25,BST,16384,5727,4914,2499,1582,1662,201,4713,89,2410,54,1528,5388,28,0.003870477
25,RedBlackBST,16384,5727,4914,2499,1582,1662,201,4713,89,2410,54,1528,5388,16,0.004355256
26,BST,16384,5591,4957,2507,1606,1723,209,4748,86,2421,71,1535,5292,25,0.003706025
26,RedBlackBST,16384,5591,4957,2507,1606,1723,209,4748,86,2421,71,1535,5292,17,0.004401336
27,BST,16384,5760,4950,2488,1613,1573,211,4739,89,2399,75,1538,5426,27,0.003914708
27,RedBlackBST,16384,5760,4950,2488,1613,1573,211,4739,89,2399,75,1538,5426,17,0.004254461
28,BST,16384,5699,4938,2480,1601,1666,202,4736,118,2362,68,1533,5405,30,0.003447191
28,RedBlackBST,16384,5699,4938,2480,1601,1666,202,4736,118,2362,68,1533,5405,16,0.004433082
29,BST,16384,5684,4934,2521,1648,1597,206,4728,99,2422,74,1574,5362,28,0.003597542
29,RedBlackBST,16384,5684,4934,2521,1648,1597,206,4728,99,2422,74,1574,5362,16,0.004108213
30,BST,16384,5685,4908,2481,1690,1620,222,4686,85,2396,69,1621,5371,31,0.003732828
30,RedBlackBST,16384,5685,4908,2481,1690,1620,222,4686,85,2396,69,1621,5371,16,0.004235507
