sep=,
instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,8192,2863,2448,1245,818,818,112,2336,49,1196,47,771,2717,24,0.004334556
1,RedBlackBST,8192,2863,2448,1245,818,818,112,2336,49,1196,47,771,2717,15,0.00383188
2,BST,8192,2839,2482,1249,818,804,93,2389,44,1205,37,781,2686,24,0.003368261
2,RedBlackBST,8192,2839,2482,1249,818,804,93,2389,44,1205,37,781,2686,15,0.003771577
3,BST,8192,2813,2474,1230,842,833,97,2377,50,1180,31,811,2662,25,0.0046225
3,RedBlackBST,8192,2813,2474,1230,842,833,97,2377,50,1180,31,811,2662,15,0.00427842
4,BST,8192,2888,2431,1217,833,823,121,2310,39,1178,34,799,2734,22,0.003383168
4,RedBlackBST,8192,2888,2431,1217,833,823,121,2310,39,1178,34,799,2734,15,0.003252431
5,BST,8192,2878,2421,1282,830,781,123,2298,45,1237,35,795,2742,29,0.003287144
5,RedBlackBST,8192,2878,2421,1282,830,781,123,2298,45,1237,35,795,2742,14,0.003184096
6,BST,8192,2846,2560,1223,722,841,99,2461,53,1170,31,691,2703,25,0.003465995
6,RedBlackBST,8192,2846,2560,1223,722,841,99,2461,53,1170,31,691,2703,14,0.003546754
7,BST,8192,2807,2437,1260,817,871,120,2317,54,1206,35,782,2671,25,0.003435397
7,RedBlackBST,8192,2807,2437,1260,817,871,120,2317,54,1206,35,782,2671,15,0.00345965
8,BST,8192,2934,2455,1213,777,813,124,2331,49,1164,34,743,2748,27,0.003931123
8,RedBlackBST,8192,2934,2455,1213,777,813,124,2331,49,1164,34,743,2748,15,0.004161025
9,BST,8192,2803,2448,1269,817,855,75,2373,52,1217,33,784,2634,25,0.005147296
9,RedBlackBST,8192,2803,2448,1269,817,855,75,2373,52,1217,33,784,2634,16,0.005017062
10,BST,8192,2875,2435,1272,790,820,107,2328,43,1229,36,754,2721,27,0.005428389
10,RedBlackBST,8192,2875,2435,1272,790,820,107,2328,43,1229,36,754,2721,14,0.004937059
11,BST,8192,2895,2453,1267,795,782,109,2344,59,1208,27,768,2736,22,0.005238253
11,RedBlackBST,8192,2895,2453,1267,795,782,109,2344,59,1208,27,768,2736,14,0.005218434
12,BST,8192,2917,2433,1186,816,840,107,2326,41,1145,42,774,2729,26,0.005584147
