sep=,
instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
12,RedBlackBST,8192,2917,2433,1186,816,840,107,2326,41,1145,42,774,2729,15,0.005190605
13,BST,8192,2914,2388,1258,831,801,90,2298,49,1209,36,795,2772,26,0.004941926
13,RedBlackBST,8192,2914,2388,1258,831,801,90,2298,49,1209,36,795,2772,16,0.004607009
14,BST,8192,2844,2484,1224,805,835,101,2383,44,1180,37,768,2669,22,0.00461431
14,RedBlackBST,8192,2844,2484,1224,805,835,101,2383,44,1180,37,768,2669,17,0.004592259
15,BST,8192,2847,2466,1266,813,800,93,2373,51,1215,28,785,2724,24,0.004720083
15,RedBlackBST,8192,2847,2466,1266,813,800,93,2373,51,1215,28,785,2724,15,0.004547922
16,BST,8192,2905,2432,1220,811,824,106,2326,47,1173,29,782,2774,25,0.004971739
16,RedBlackBST,8192,2905,2432,1220,811,824,106,2326,47,1173,29,782,2774,15,0.004395812
17,BST,8192,2929,2447,1217,790,809,81,2366,45,1172,42,748,2758,24,0.00399978
17,RedBlackBST,8192,2929,2447,1217,790,809,81,2366,45,1172,42,748,2758,14,0.003600392
18,BST,8192,2971,2431,1201,780,809,107,2324,48,1153,30,750,2824,27,0.003614734
18,RedBlackBST,8192,2971,2431,1201,780,809,107,2324,48,1153,30,750,2824,15,0.003398218
19,BST,8192,2899,2484,1158,788,863,113,2371,38,1120,32,756,2737,23,0.003439291
19,RedBlackBST,8192,2899,2484,1158,788,863,113,2371,38,1120,32,756,2737,15,0.003285013
20,BST,8192,2850,2463,1230,802,847,121,2342,42,1188,36,766,2675,26,0.003105404
20,RedBlackBST,8192,2850,2463,1230,802,847,121,2342,42,1188,36,766,2675,15,0.00303001
21,BST,8192,2845,2507,1240,827,773,104,2403,53,1187,35,792,2687,23,0.003175611
21,RedBlackBST,8192,2845,2507,1240,827,773,104,2403,53,1187,35,792,2687,14,0.001888452
22,BST,8192,2864,2520,1177,828,803,98,2422,42,1135,33,795,2709,26,0.002012243
22,RedBlackBST,8192,2864,2520,1177,828,803,98,2422,42,1135,33,795,2709,14,0.001767385
23,BST,8192,2928,2472,1247,766,779,98,2374,41,1206,41,725,2765,30,0.001906771
23,RedBlackBST,8192,2928,2472,1247,766,779,98,2374,41,1206,41,725,2765,14,0.001795365
24,BST,8192,2891,2411,1234,838,818,99,2312,47,1187,43,795,2740,24,0.001940022
24,RedBlackBST,8192,2891,2411,1234,838,818,99,2312,47,1187,43,795,2740,15,0.001796913
25,BST,8192,2880,2477,1246,786,803,112,2365,57,1189,34,752,2728,25,0.001775629
25,RedBlackBST,8192,2880,2477,1246,786,803,112,2365,57,1189,34,752,2728,14,0.002125413
26,BST,8192,2830,2526,1196,845,795,98,2428,44,1152,38,807,2666,29,0.007133048
26,RedBlackBST,8192,2830,2526,1196,845,795,98,2428,44,1152,38,807,2666,15,0.003573572
27,BST,8192,2940,2474,1187,805,786,107,2367,49,1138,33,772,2781,28,0.004240613
27,RedBlackBST,8192,2940,2474,1187,805,786,107,2367,49,1138,33,772,2781,15,0.004587096
28,BST,8192,2823,2481,1270,781,837,91,2390,41,1229,35,746,2651,24,0.00459625
28,RedBlackBST,8192,2823,2481,1270,781,837,91,2390,41,1229,35,746,2651,14,0.004365904
29,BST,8192,2815,2536,1201,822,818,111,2425,49,1152,40,782,2657,25,0.003874187
29,RedBlackBST,8192,2815,2536,1201,822,818,111,2425,49,1152,40,782,2657,15,0.003413317
30,BST,8192,2900,2467,1207,825,793,84,2383,55,1152,35,790,2762,26,0.003500758
30,RedBlackBST,8192,2900,2467,1207,825,793,84,2383,55,1152,35,790,2762,14,0.003111372
