sep=,
instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,524288,183690,157161,78626,52593,52218,6659,150502,3050,75576,2256,50337,173697,40,0.274317375
1,RedBlackBST,524288,183690,157161,78626,52593,52218,6659,150502,3050,75576,2256,50337,173697,23,0.257791021
2,BST,524288,184060,157185,78288,52008,52747,6695,150490,3028,75260,2169,49839,174016,45,0.268364702
2,RedBlackBST,524288,184060,157185,78288,52008,52747,6695,150490,3028,75260,2169,49839,174016,24,0.274203209
3,BST,524288,183559,157074,78820,52617,52218,6675,150399,3105,75715,2271,50346,173579,44,0.265233656
3,RedBlackBST,524288,183559,157074,78820,52617,52218,6675,150399,3105,75715,2271,50346,173579,23,0.263778162
4,BST,524288,183210,157279,78911,52518,52370,6588,150691,2914,75997,2268,50250,173311,42,0.24527553
4,RedBlackBST,524288,183210,157279,78911,52518,52370,6588,150691,2914,75997,2268,50250,173311,24,0.273730443
5,BST,524288,182803,157668,78731,52461,52625,6496,151172,3043,75688,2260,50201,172922,41,0.278091304
5,RedBlackBST,524288,182803,157668,78731,52461,52625,6496,151172,3043,75688,2260,50201,172922,22,0.270724978
6,BST,524288,183675,157156,78455,52178,52824,6605,150551,2923,75532,2287,49891,173566,42,0.283610488
6,RedBlackBST,524288,183675,157156,78455,52178,52824,6605,150551,2923,75532,2287,49891,173566,24,0.267820289
7,BST,524288,183565,157290,78688,52599,52146,6580,150710,3027,75661,2220,50379,173503,40,0.341096922
7,RedBlackBST,524288,183565,157290,78688,52599,52146,6580,150710,3027,75661,2220,50379,173503,24,0.285911304
8,BST,524288,183285,157585,78686,52559,52173,6606,150979,2945,75741,2233,50326,173485,41,0.237872077
8,RedBlackBST,524288,183285,157585,78686,52559,52173,6606,150979,2945,75741,2233,50326,173485,23,0.272575526
9,BST,524288,183904,157164,78705,52393,52122,6607,150557,2910,75795,2154,50239,173992,45,0.273608167
9,RedBlackBST,524288,183904,157164,78705,52393,52122,6607,150557,2910,75795,2154,50239,173992,23,0.306847405
10,BST,524288,183636,157236,78635,52472,52309,6584,150652,3049,75586,2124,50348,173786,38,0.346650701
10,RedBlackBST,524288,183636,157236,78635,52472,52309,6584,150652,3049,75586,2124,50348,173786,23,0.458987517
11,BST,524288,182984,157643,78759,52578,52324,6653,150990,2975,75784,2224,50354,173013,42,0.52803616
11,RedBlackBST,524288,182984,157643,78759,52578,52324,6653,150990,2975,75784,2224,50354,173013,24,0.313223298
12,BST,524288,183466,157717,77947,52425,52733,6535,151182,2921,75026,2270,50155,173591,41,0.727353779
12,RedBlackBST,524288,183466,157717,77947,52425,52733,6535,151182,2921,75026,2270,50155,173591,23,0.254288582
13,BST,524288,183107,157072,78581,52527,53001,6490,150582,2954,75627,2185,50342,173091,42,0.279897463
13,RedBlackBST,524288,183107,157072,78581,52527,53001,6490,150582,2954,75627,2185,50342,173091,23,0.317337016
14,BST,524288,183937,157455,78372,52306,52218,6657,150798,3030,75342,2265,50041,173962,40,0.275277657
14,RedBlackBST,524288,183937,157455,78372,52306,52218,6657,150798,3030,75342,2265,50041,173962,23,0.271100611
15,BST,524288,183428,157229,78778,52476,52377,6789,150440,2979,75799,2231,50245,173514,43,0.270398033
15,RedBlackBST,524288,183428,157229,78778,52476,52377,6789,150440,2979,75799,2231,50245,173514,24,0.299019681
16,BST,524288,182982,157541,78854,52497,52414,6648,150893,3028,75826,2178,50319,173039,40,0.586472341
16,RedBlackBST,524288,182982,157541,78854,52497,52414,6648,150893,3028,75826,2178,50319,173039,24,0.456056001
17,BST,524288,183510,157562,78604,52328,52284,6644,150918,3087,75517,2236,50092,173449,43,0.582787667
17,RedBlackBST,524288,183510,157562,78604,52328,52284,6644,150918,3087,75517,2236,50092,173449,23,0.27284171
18,BST,524288,183175,157068,78648,52686,52711,6686,150382,2910,75738,2180,50506,173164,45,0.530616972
18,RedBlackBST,524288,183175,157068,78648,52686,52711,6686,150382,2910,75738,2180,50506,173164,25,0.527365135
19,BST,524288,183557,157206,78474,52251,52800,6578,150628,3058,75416,2175,50076,173577,40,0.566237559
19,RedBlackBST,524288,183557,157206,78474,52251,52800,6578,150628,3058,75416,2175,50076,173577,23,0.305261551
20,BST,524288,183443,157590,78614,52389,52252,6540,151050,2985,75629,2069,50320,173749,38,0.300653963
20,RedBlackBST,524288,183443,157590,78614,52389,52252,6540,151050,2985,75629,2069,50320,173749,23,0.278004579
21,BST,524288,183384,157106,78700,52827,52271,6549,150557,2979,75721,2211,50616,173334,41,0.305633624
21,RedBlackBST,524288,183384,157106,78700,52827,52271,6549,150557,2979,75721,2211,50616,173334,23,0.283176376
22,BST,524288,183690,156790,78718,52484,52606,6549,150241,3041,75677,2226,50258,173714,41,0.293608686
22,RedBlackBST,524288,183690,156790,78718,52484,52606,6549,150241,3041,75677,2226,50258,173714,25,0.285853365
23,BST,524288,183338,157151,78784,52598,52417,6634,150517,2902,75882,2226,50372,173498,42,0.31434771
23,RedBlackBST,524288,183338,157151,78784,52598,52417,6634,150517,2902,75882,2226,50372,173498,23,0.279390463
24,BST,524288,183776,156568,78880,52656,52408,6515,150053,2979,75901,2245,50411,173892,47,0.291604309
24,RedBlackBST,524288,183776,156568,78880,52656,52408,6515,150053,2979,75901,2245,50411,173892,25,0.283716068
25,BST,524288,183510,157469,78742,52182,52385,6853,150616,3038,75704,2254,49928,173618,44,0.362416714
25,RedBlackBST,524288,183510,157469,78742,52182,52385,6853,150616,3038,75704,2254,49928,173618,24,0.300154128
26,BST,524288,183544,157508,78799,52508,51929,6739,150769,2961,75838,2234,50274,173535,44,0.28333281
26,RedBlackBST,524288,183544,157508,78799,52508,51929,6739,150769,2961,75838,2234,50274,173535,23,0.306060359
27,BST,524288,183500,156896,78654,52819,52419,6556,150340,3024,75630,2289,50530,173593,47,0.463846219
27,RedBlackBST,524288,183500,156896,78654,52819,52419,6556,150340,3024,75630,2289,50530,173593,24,0.28679228
28,BST,524288,183304,157638,78545,52531,52270,6642,150996,3000,75545,2200,50331,173349,40,0.270628887
28,RedBlackBST,524288,183304,157638,78545,52531,52270,6642,150996,3000,75545,2200,50331,173349,23,0.328868188
29,BST,524288,183751,157036,78753,52327,52421,6468,150568,3047,75706,2237,50090,173735,39,0.413423349
29,RedBlackBST,524288,183751,157036,78753,52327,52421,6468,150568,3047,75706,2237,50090,173735,23,0.337429359
30,BST,524288,183208,157002,78709,52680,52689,6594,150408,2981,75728,2203,50477,173337,41,0.310575944
30,RedBlackBST,524288,183208,157002,78709,52680,52689,6594,150408,2981,75728,2203,50477,173337,23,0.350481266
