sep=,
instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,4096,1423,1200,646,417,410,49,1151,22,624,15,402,1356,23,0.009633712
1,RedBlackBST,4096,1423,1200,646,417,410,49,1151,22,624,15,402,1356,13,0.008689408
2,BST,4096,1427,1270,583,410,406,62,1208,23,560,7,403,1361,24,0.003423753
2,RedBlackBST,4096,1427,1270,583,410,406,62,1208,23,560,7,403,1361,14,0.003985045
3,BST,4096,1461,1226,597,392,420,43,1183,18,579,23,369,1379,22,0.003932936
3,RedBlackBST,4096,1461,1226,597,392,420,43,1183,18,579,23,369,1379,13,0.004825927
4,BST,4096,1406,1241,605,434,410,63,1178,22,583,10,424,1346,20,0.004968871
4,RedBlackBST,4096,1406,1241,605,434,410,63,1178,22,583,10,424,1346,13,0.005122116
5,BST,4096,1456,1227,617,399,397,42,1185,20,597,12,387,1368,22,0.004551402
5,RedBlackBST,4096,1456,1227,617,399,397,42,1185,20,597,12,387,1368,12,0.004470153
6,BST,4096,1462,1231,601,368,434,52,1179,29,572,13,355,1378,22,0.006870116
6,RedBlackBST,4096,1462,1231,601,368,434,52,1179,29,572,13,355,1378,12,0.006595161
7,BST,4096,1384,1234,672,397,409,53,1181,24,648,21,376,1315,27,0.005863661
7,RedBlackBST,4096,1384,1234,672,397,409,53,1181,24,648,21,376,1315,13,0.016113261
8,BST,4096,1481,1215,603,416,381,49,1166,23,580,16,400,1415,24,0.004860074
8,RedBlackBST,4096,1481,1215,603,416,381,49,1166,23,580,16,400,1415,13,0.005558682
9,BST,4096,1413,1257,620,384,422,47,1210,31,589,18,366,1322,23,0.002208289
9,RedBlackBST,4096,1413,1257,620,384,422,47,1210,31,589,18,366,1322,13,0.002253414
10,BST,4096,1427,1254,622,415,378,56,1198,23,599,16,399,1342,21,0.001696233
10,RedBlackBST,4096,1427,1254,622,415,378,56,1198,23,599,16,399,1342,13,0.001819262
11,BST,4096,1501,1213,589,393,400,60,1153,16,573,17,376,1410,21,0.001519471
11,RedBlackBST,4096,1501,1213,589,393,400,60,1153,16,573,17,376,1410,14,0.001630391
12,BST,4096,1500,1223,626,399,348,59,1164,23,603,26,373,1421,22,0.001479493
12,RedBlackBST,4096,1500,1223,626,399,348,59,1164,23,603,26,373,1421,13,0.001608556
13,BST,4096,1469,1271,574,369,413,62,1209,28,546,15,354,1392,20,0.001450266
13,RedBlackBST,4096,1469,1271,574,369,413,62,1209,28,546,15,354,1392,13,0.001436578
14,BST,4096,1412,1280,573,395,436,54,1226,23,550,22,373,1336,19,8.51106E-4
14,RedBlackBST,4096,1412,1280,573,395,436,54,1226,23,550,22,373,1336,14,0.001124901
15,BST,4096,1398,1286,621,405,386,58,1228,23,598,13,392,1327,20,0.001681082
15,RedBlackBST,4096,1398,1286,621,405,386,58,1228,23,598,13,392,1327,14,0.001880835
16,BST,4096,1406,1230,609,414,437,41,1189,27,582,18,396,1325,19,0.002153894
16,RedBlackBST,4096,1406,1230,609,414,437,41,1189,27,582,18,396,1325,14,0.002248336
17,BST,4096,1376,1255,613,435,417,58,1197,16,597,19,416,1299,23,0.002176658
17,RedBlackBST,4096,1376,1255,613,435,417,58,1197,16,597,19,416,1299,14,0.001306101
18,BST,4096,1446,1251,605,404,390,43,1208,18,587,24,380,1379,22,0.001398322
18,RedBlackBST,4096,1446,1251,605,404,390,43,1208,18,587,24,380,1379,13,0.001375248
19,BST,4096,1387,1242,614,404,449,50,1192,25,589,15,389,1300,23,0.00197788
19,RedBlackBST,4096,1387,1242,614,404,449,50,1192,25,589,15,389,1300,13,0.001759912
20,BST,4096,1398,1215,640,432,411,50,1165,15,625,18,414,1323,22,0.001723292
20,RedBlackBST,4096,1398,1215,640,432,411,50,1165,15,625,18,414,1323,13,0.00174455
21,BST,4096,1407,1256,606,389,438,56,1200,20,586,13,376,1325,21,0.002019296
21,RedBlackBST,4096,1407,1256,606,389,438,56,1200,20,586,13,376,1325,13,0.002375371
22,BST,4096,1402,1265,602,399,428,53,1212,26,576,26,373,1334,23,0.002279627
22,RedBlackBST,4096,1402,1265,602,399,428,53,1212,26,576,26,373,1334,13,0.002074851
23,BST,4096,1442,1226,591,383,454,60,1166,13,578,21,362,1364,24,0.001992241
23,RedBlackBST,4096,1442,1226,591,383,454,60,1166,13,578,21,362,1364,13,0.00190879
24,BST,4096,1432,1210,636,409,409,56,1154,26,610,15,394,1357,22,0.001916706
24,RedBlackBST,4096,1432,1210,636,409,409,56,1154,26,610,15,394,1357,13,0.001688306
25,BST,4096,1418,1235,593,448,402,40,1195,25,568,21,427,1349,23,0.001722225
25,RedBlackBST,4096,1418,1235,593,448,402,40,1195,25,568,21,427,1349,13,0.002151366
26,BST,4096,1455,1260,598,390,393,51,1209,26,572,9,381,1369,21,0.002254407
26,RedBlackBST,4096,1455,1260,598,390,393,51,1209,26,572,9,381,1369,13,0.00160133
27,BST,4096,1418,1248,630,380,420,50,1198,23,607,14,366,1347,26,0.002265866
27,RedBlackBST,4096,1418,1248,630,380,420,50,1198,23,607,14,366,1347,13,0.002204779
28,BST,4096,1382,1226,627,427,434,47,1179,27,600,19,408,1311,21,0.001986692
28,RedBlackBST,4096,1382,1226,627,427,434,47,1179,27,600,19,408,1311,14,0.0015074
29,BST,4096,1443,1222,622,406,403,53,1169,26,596,13,393,1368,21,0.001466693
29,RedBlackBST,4096,1443,1222,622,406,403,53,1169,26,596,13,393,1368,13,0.001382892
30,BST,4096,1442,1237,584,417,416,53,1184,19,565,14,403,1356,21,0.001232619
30,RedBlackBST,4096,1442,1237,584,417,416,53,1184,19,565,14,403,1356,14,0.001314709
