sep=,
instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,262144,91990,78735,39180,25971,26268,3284,75451,1489,37691,1049,24922,87063,39,0.141799345
1,RedBlackBST,262144,91990,78735,39180,25971,26268,3284,75451,1489,37691,1049,24922,87063,22,0.135513887
2,BST,262144,91681,78970,39536,26012,25945,3408,75562,1484,38052,1090,24922,86728,37,0.121272623
2,RedBlackBST,262144,91681,78970,39536,26012,25945,3408,75562,1484,38052,1090,24922,86728,22,0.112420981
3,BST,262144,91830,78735,39252,26258,26069,3303,75432,1451,37801,1094,25164,86892,38,0.117429095
3,RedBlackBST,262144,91830,78735,39252,26258,26069,3303,75432,1451,37801,1094,25164,86892,22,0.118785815
4,BST,262144,91829,78590,38901,26368,26456,3264,75326,1494,37407,1105,25263,86796,37,0.108004514
4,RedBlackBST,262144,91829,78590,38901,26368,26456,3264,75326,1494,37407,1105,25263,86796,22,0.10225831
5,BST,262144,91677,78757,39245,26294,26171,3282,75475,1487,37758,1109,25185,86776,36,0.113398698
5,RedBlackBST,262144,91677,78757,39245,26294,26171,3282,75475,1487,37758,1109,25185,86776,22,0.156718115
6,BST,262144,92062,78303,39465,26353,25961,3256,75047,1577,37888,1142,25211,87008,39,0.116294396
6,RedBlackBST,262144,92062,78303,39465,26353,25961,3256,75047,1577,37888,1142,25211,87008,22,0.108518981
7,BST,262144,91348,78864,39229,26302,26401,3370,75494,1504,37725,1111,25191,86520,39,0.108628311
7,RedBlackBST,262144,91348,78864,39229,26302,26401,3370,75494,1504,37725,1111,25191,86520,22,0.104404858
8,BST,262144,91679,78463,39261,26453,26288,3312,75151,1467,37794,1038,25415,86781,45,0.104986133
8,RedBlackBST,262144,91679,78463,39261,26453,26288,3312,75151,1467,37794,1038,25415,86781,22,0.103185673
9,BST,262144,91661,78507,39181,26373,26422,3214,75293,1444,37737,1121,25252,86690,40,0.107648657
9,RedBlackBST,262144,91661,78507,39181,26373,26422,3214,75293,1444,37737,1121,25252,86690,22,0.098527841
10,BST,262144,91675,79046,39236,26085,26102,3350,75696,1475,37761,1139,24946,86635,37,0.112588045
